	第１表　給与所得者数・給与額・税額												
													
	事業所規模別・企業規模別・業種別												
	区　　　　分				給    与    所    得    者    数					給    与    額		税       額 	
					３月末	 ６月末	 ９月末	１２月末	年間月平均	総    額	平 均	総    額	平 均
					千人	千人	千人	千人	千人	百万円	千円	百万円	千円
	平成30年分				57989	58424	58359	58696	58367	212642611	3643	10181632	174
	令和元 　　				58524	59380	59103	60034	59260	219431915	3703	10492945	177
	２				59662	58295	58639	59918	59128	217338131	3676	10218496	173
	３				58663	59513	59394	60575	59536	226306970	3801	11251668	189
	４				58675	59972	59145	59667	59365	231264008	3896	12042393	203
	５				59364	60589	59895	60682	60133	232907214	3873	12006114	200
					人	人	人	人	人	百万円	千円	百万円	千円
		'10											
人													
未													
満'	1～4人		3323142	3298444	3276995	3211108	3277422	10291451	3140	544381	166		
			5～9人		3674898	3672400	3683503	3696218	3681755	13586961	3690	805644	219
	事		計		6998040	6970844	6960498	6907326	6959177	23878413	3431	1350025	194
	業	10人以上			8034244	7869268	7916608	7965666	7946447	28588168	3598	1673441	211
	所	'30											
人													
以													
上'	    30人  〃		9251905	10106849	9414448	9525594	9574699	33836242	3534	1635977	171		
	規		  100人  〃		12077158	12230955	12241376	12360067	12227389	47290177	3868	2133215	174
	模		  500人  〃		4738251	4822359	4807008	4840626	4802061	20251153	4217	995729	207
	別		1,000人  〃		8796877	8978801	8943042	9004508	8930807	40119066	4492	2153624	241
			5,000人  〃		9467376	9609828	9611776	10078704	9691921	38943996	4018	2064104	213
			　　　計		44331568	45748791	45017649	45809499	45226877	180440634	3990	8982649	199
		合　　　　計			59363852	60588904	59894756	60682490	60132500	232907214	3873	12006114	200
		個　　　　人			2279541	2301220	2324712	2341808	2311820	4881169	2111	147823	64
		'（資本金階級別）											
株式会社'	2,000万円未満		12397099	13050925	12376816	12499379	12581055	39845169	3167	1951911	155		
	企		2,000万円以上		6294395	6372337	6380435	6473306	6380118	24012107	3764	1087555	170
	業		5,000万円 〃		6118972	6209650	6262913	6548145	6284920	22559921	3590	970846	154
	規		    1億円 〃		7467215	7614310	7594134	7670325	7586496	31663090	4174	1450989	191
	模		   10億円 〃		9709090	9845122	9815291	9847082	9804146	55190770	5629	3381968	345
	別		　　　計		41986771	43092344	42429589	43038236	42636735	173271057	4064	8843269	207
		 その他の法人			15097540	15195340	15140454	15302446	15183945	54754988	3606	3015022	199
		合　　　　計			59363852	60588904	59894756	60682490	60132500	232907214	3873	12006114	200
		建設業			4255241	4280728	4292437	4307694	4284025	21348619	4983	1132918	264
		製造業			10077372	10196858	10157956	10146735	10144730	50646940	4992	2496651	246
		卸売業，小売業			9868735	9705076	9754810	10128143	9864191	31688302	3212	1495682	152
		宿泊業，飲食サービス業			3089884	3881658	3238028	3331832	3385351	5093007	1504	142824	42
		金融業，保険業			1520568	1515648	1507764	1498128	1510527	9161535	6065	638068	422
	業	不動産業，物品賃貸業			1335131	1357432	1340181	1334995	1341935	5694569	4244	464530	346
	種	運輸業，郵便業			3455123	3470544	3475404	3496716	3474447	14556478	4190	551223	159
	別	電気･ガス･熱供給・水道業			175135	177936	175811	175150	176008	1380165	7841	90515	514
		情報通信業			2337628	2440701	2400156	2434744	2403308	14564828	6060	899278	374
		'学術研究，専門・技術サービス業，											
教育，学習支援業'			3137885	3228369	3177044	3292955	3209063	13558715	4225	818947	255		
		医療，福祉			8922701	9036040	9019052	9087569	9016340	30766115	3412	1779558	197
		複合サービス事業			1022012	1008545	1001785	1029372	1015428	3105833	3059	138329	136
		サービス業			9641918	9760697	9821425	9880244	9776071	29957987	3064	1304048	133
		農林水産・鉱業			524520	528672	532901	538212	531076	1384119	2606	53545	101
		 合　　　　計			59363852	60588904	59894756	60682490	60132500	232907214	3873	12006114	200
	（注）		1　平均給与額＝給与総額÷年間月平均給与所得者数										
			2　平均税額＝税額総額÷年間月平均給与所得者数										
