事業所規模	3月末	6月末	9月末	12月末	年間月平均	給与総額	平均給与額	税額総額	平均税額
1～4人	3,323,142	3,298,444	3,276,995	3,211,108	3,277,422	10,291,451	3,140	544,381	166
5～9人	3,674,898	3,672,400	3,683,503	3,696,218	3,681,755	13,586,961	3,690	805,644	219
10人以上	8,034,244	7,869,268	7,916,608	7,965,666	7,946,447	28,588,168	3,598	1,673,441	211
30人以上	9,251,905	10,106,849	9,414,448	9,525,594	9,574,699	33,836,242	3,534	1,635,977	171
100人以上	12,077,158	12,230,955	12,241,376	12,360,067	12,227,389	47,290,177	3,868	2,133,215	174
500人以上	4,738,251	4,822,359	4,807,008	4,840,626	4,802,061	20,251,153	4,217	995,729	207
1,000人以上	8,796,877	8,978,801	8,943,042	9,004,508	8,930,807	40,119,066	4,492	2,153,624	241
5,000人以上	9,467,376	9,609,828	9,611,776	10,078,704	9,691,921	38,943,996	4,018	2,064,104	213
合計	59,363,852	60,588,904	59,894,756	60,682,490	60,132,500	232,907,214	3,873	12,006,114	200
個人	2,279,541	2,301,220	2,324,712	2,341,808	2,311,820	4,881,169	2,111	147,823	64
