業種	3月末	6月末	9月末	12月末	年間月平均	給与総額	平均給与額	税額総額	平均税額
建設業	4,255,241	4,280,728	4,292,437	4,307,694	4,284,025	21,348,619	4,983	1,132,918	264
製造業	10,077,372	10,196,858	10,157,956	10,146,735	10,144,730	50,646,940	4,992	2,496,651	246
卸売業, 小売業	9,868,735	9,705,076	9,754,810	10,128,143	9,864,191	31,688,302	3,212	1,495,682	152
宿泊業, 飲食サービス業	3,089,884	3,881,658	3,238,028	3,331,832	3,385,351	5,093,007	1,504	142,824	42
金融業, 保険業	1,520,568	1,515,648	1,507,764	1,498,128	1,510,527	9,161,535	6,065	638,068	422
不動産業, 物品賃貸業	1,335,131	1,357,432	1,340,181	1,334,995	1,341,935	5,694,569	4,244	464,530	346
運輸業, 郵便業	3,455,123	3,470,544	3,475,404	3,496,716	3,474,447	14,556,478	4,190	551,223	159
電気・ガス・熱供給・水道業	175,135	177,936	175,811	175,150	176,008	1,380,165	7,841	90,515	514
情報通信業	2,337,628	2,440,701	2,400,156	2,434,744	2,403,308	14,564,828	6,060	899,278	374
学術研究,専門・技術サービス業...	3,137,885	3,228,369	3,177,044	3,292,955	3,209,063	13,558,715	4,225	818,947	255
医療, 福祉	8,922,701	9,036,040	9,019,052	9,087,569	9,016,340	30,766,115	3,412	1,779,558	197
複合サービス事業	1,022,012	1,008,545	1,001,785	1,029,372	1,015,428	3,105,833	3,059	138,329	136
サービス業	9,641,918	9,760,697	9,821,425	9,880,244	9,776,071	29,957,987	3,064	1,304,048	133
農林水産・鉱業	524,520	528,672	532,901	538,212	531,076	1,384,119	2,606	53,545	101
合計	59,363,852	60,588,904	59,894,756	60,682,490	60,132,500	232,907,214	3,873	12,006,114	200
